x, res/com, original, y
20,60,63,0.95238
26,93,97,0.95876
30,69,78,0.88462
32,41,45,0.91111
33,90,101,0.89109
35,56,60,0.93333
36,93,112,0.83036
38,48,59,0.81356
39,46,64,0.71875
40,98,130,0.75385
42,51,74,0.68919
43,54,71,0.76056
44,53,73,0.72603
45,49,69,0.71014
46,77,109,0.70642
48,42,57,0.73684
49,77,113,0.68142
51,35,63,0.55556
52,66,107,0.61682
54,35,62,0.56452
55,42,72,0.58333
56,69,116,0.59483
58,32,51,0.62745
59,47,65,0.72308
60,61,114,0.53509
62,31,57,0.54386
63,71,114,0.62281
65,46,82,0.56098
66,41,65,0.63077
67,31,62,0.5
68,48,76,0.63158
69,76,131,0.58015
71,47,85,0.55294
72,44,78,0.5641
73,47,69,0.68116
74,40,61,0.65574
75,43,69,0.62319
76,42,74,0.56757
77,83,135,0.61481
79,47,69,0.68116
80,41,66,0.62121
81,79,126,0.62698
83,33,59,0.55932
84,44,67,0.65672
85,35,64,0.54688
86,71,110,0.64545
88,66,107,0.61682
90,30,52,0.57692
91,39,108,0.36111
96,3,127,0.02362
